,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
UCLA-15,6,1,3,0,0,0,1,0,0,0,0,0,0
CAL-RYAN PFENNING,3,2,1,0,0,0,1,0,0,0,1,0,0
UCLA-35,2,0,0,1,0,0,1,0,0,0,1,0,0
CAL-12,1,0,0,0,0,0,0,0,0,0,0,0,0
CAL-25,1,0,0,0,0,0,0,0,0,0,0,0,0
CAL-CATHERINE CONDIT,1,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-24,1,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-38,1,0,1,0,2,0,0,0,0,0,0,0,0
CAL-AJ MORGAN,1,0,0,0,0,0,1,0,0,0,0,0,0
UCLA-11,1,0,0,0,0,0,1,0,0,0,0,0,0
UCLA-61,0,1,0,0,0,1,0,0,1,0,0,0,0
CAL-MADDI ERDALL,0,1,1,0,0,0,1,0,0,0,0,0,0
UCLA-32,0,1,0,0,0,0,1,0,0,0,1,0,0
CAL-13,0,0,1,0,0,0,0,0,0,0,1,0,0
CAL-17,0,0,0,0,0,0,0,0,0,0,1,0,0
CAL-ARDIN LO,0,0,0,0,1,0,0,0,0,0,1,1,0
CAL-IVAN AVALOS,0,0,0,0,1,1,0,0,0,0,0,0,0
CAL-UNK,0,0,0,0,0,1,0,0,0,0,0,0,0
UCLA-1,0,0,0,1,0,0,0,0,0,0,0,0,0
UCLA-20,0,0,0,1,0,0,0,0,0,0,1,0,0
UCLA-46,0,0,0,0,1,0,0,0,0,0,0,0,0
CAL-ELIJAH PHIPPS,0,0,0,1,1,0,3,0,0,0,0,0,0
