,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TAMU-JACK MCBRIDE,5,2,1,1,0,0,1,0,0,0,0,0,0
TAMU-BLAINE MCCULLARS,3,0,0,0,0,0,1,0,0,0,0,0,0
TXST-ERIC REYES,2,1,0,0,0,0,0,0,0,0,0,0,0
TXST-MELISSA KITE,2,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,2,0,0,1,0,0,0,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,2,0,0,0,0,0,1,0,0,0,0,0,0
TXST-JUSTIN DUGIE,2,0,0,0,0,0,1,0,0,0,1,0,0
TXST-CLAYTON CARLISLE,1,1,0,0,0,0,0,0,0,0,0,0,0
TXST-AMBER BONHOMME,1,0,0,1,0,0,0,0,0,0,0,0,0
TXST-AUDREY FRY,1,0,0,0,0,0,1,0,0,0,0,0,0
TXST-DAVID AVILA,1,0,0,0,0,0,1,0,0,0,0,0,0
TXST-NICK ED,0,2,1,0,0,0,0,0,0,0,0,0,0
TAMU-KEATON MALLORY,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-KODY FOX,0,1,0,0,0,0,0,0,0,0,1,0,0
TXST-MICHAEL GENTEMPO,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-MARK MCQUAGE,0,1,0,1,0,0,2,0,0,0,1,0,0
TAMU-ALEX STEWART,0,0,0,0,0,0,0,0,0,0,1,0,0
TAMU-CAMERON VILLAMIL,0,0,0,1,0,0,0,0,0,0,0,0,0
TAMU-RANDI DORAN,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-SHANIAH CARROLL,0,0,0,0,2,0,0,0,0,0,0,0,0
TXST-23,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-BAILEE FIELDS,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-JESSICA MARKLE,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-JOHN ALVAREZ,0,0,0,0,0,0,0,1,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-ARON GEBREMICAEL,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-TIM NGUYEN,0,0,0,0,0,0,1,0,0,0,0,0,0
