,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
UMD-JOHN SHERIDAN,4,0,1,0,0,0,0,0,0,0,0,0,0
UVA-MICHAEL HOWELL,3,0,1,0,0,0,2,0,0,0,0,0,0
UVA-BEN PHILLIPS,2,3,4,1,0,0,2,0,0,0,1,0,0
UMD-NOAH RINDOCK,2,0,1,0,0,0,0,0,0,0,0,0,0
UVA-MATTHEW COOPER,2,0,0,0,0,0,3,0,0,0,1,1,0
UVA-MATTHEW STEELBERG,1,1,0,0,0,0,0,0,0,0,0,0,0
UMD-UNK,1,0,0,0,0,0,0,0,0,0,0,0,0
UVA-CARLEE KLEPPIN,1,0,0,1,0,0,0,0,0,0,0,0,0
UMD-ABBY POTTER,0,1,0,0,0,0,1,0,0,0,0,0,0
UVA-UNK,0,1,1,0,0,0,1,0,0,0,0,0,0
UMD-MACK MORGAN,0,1,0,0,0,0,2,0,0,0,0,0,0
UMD-47,0,0,0,0,1,0,0,0,0,0,0,0,0
UMD-ZAIN BHAILA,0,0,0,0,1,0,0,0,0,0,0,0,0
UVA-68,0,0,0,0,0,1,0,0,0,0,0,0,0
UVA-94,0,0,0,0,2,0,0,0,0,0,0,0,0
UVA-HANNAH ROLLINS,0,0,0,0,0,0,0,0,0,1,0,0,0
UVA-LANE BURGESS,0,0,0,0,1,3,0,0,0,0,0,0,0
UMD-44,0,0,0,0,1,0,1,0,0,0,0,0,0
UMD-JERRICK KNIPPEL,0,0,1,0,0,0,1,0,0,0,0,0,0
UMD-MIKE SINDALL,0,0,1,0,0,0,1,0,0,0,0,0,0
