,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
NYU-FRANK MINSON,4,0,0,0,0,0,1,0,0,0,0,0,0
NYU-LANDON GARFINKEL,3,2,2,0,0,0,4,0,0,0,0,0,0
UVA-UNK,2,2,2,0,0,0,1,0,0,0,0,0,0
UVA-GATES YOUNG,2,0,1,0,0,0,0,0,0,0,0,0,0
UVA-DAVID LITTLETON,1,1,0,0,0,0,0,0,0,0,0,0,0
NYU-NATHAN REY,1,0,0,0,0,0,0,0,0,0,0,0,0
NYU-SHELLEY LOREE,1,0,0,0,0,0,0,0,0,0,0,0,0
UVA-CARLEE KLEPPIN,1,0,0,0,0,0,0,0,0,0,0,0,0
UVA-BEN PHILLIPS,1,0,2,0,0,0,1,0,0,0,0,0,0
NYU-17,0,1,0,0,0,0,0,0,0,0,0,0,0
NYU-ANTOINE GIRON,0,0,0,0,3,0,0,0,0,0,0,0,0
NYU-DESMOND,0,0,0,0,0,0,0,0,0,0,1,0,0
NYU-ELLE DESIR,0,0,0,0,1,0,0,0,0,0,0,0,0
NYU-JANICE LU,0,0,0,0,1,0,0,0,0,0,0,0,0
NYU-JEFF EBNER,0,0,0,0,1,0,0,0,0,0,0,0,0
UVA-47,0,0,0,0,0,0,0,0,0,0,1,0,0
NYU-AIDAN CLAFFEY,0,0,3,0,0,0,1,0,0,0,0,0,0
NYU-UNK,0,0,0,0,0,0,1,1,0,0,0,0,0
