,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
TEXAS-JOHN ANDERSON,3,1,3,0,0,0,1,0,1,0,0,0,0
TEXAS-NICK MARINO,2,2,1,1,0,0,3,0,0,0,0,0,0
TAMU-SHAWN ERWIN,2,1,0,0,0,0,0,0,0,1,0,0,0
TAMU-JESSICA HEMBREE,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,2,0,4,0,0,0,0,0,0,0,0,0,0
TEXAS-JOCELYN WHISTLER,2,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,1,1,0,0,0,0,2,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-LOUIS SANCHEZ,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,1,0,0,1,0,0,0,0,0,0,0,0
TEXAS-UNK,0,1,0,0,0,1,0,0,0,0,0,0,0
TAMU-ALEX STEWART,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-DANIEL SOBARZO,0,0,0,0,0,0,0,0,0,0,1,1,0
TAMU-NICK ROY,0,0,0,0,1,1,0,0,0,0,0,0,0
TAMU-RACHEL NICOLETTI,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,0,0,1,1,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-LANDIS WALTHER,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-MCKENZIE CONNELL,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-MIGUEL SOBARZO,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-UNK,0,0,0,0,0,2,1,0,0,0,0,0,0
TEXAS-ANDRES GARZA,0,0,0,0,0,0,1,0,0,0,1,1,0
TEXAS-SIMON ARENDS,0,0,0,0,0,0,1,0,0,0,0,0,0
