,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
ROCHESTER-BASEM ASHKAR,4,3,1,0,0,0,3,0,0,0,0,0,0
TEXAS-AIDAN PARSI,3,1,1,0,0,0,2,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,2,1,0,0,0,0,1,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,2,0,1,0,0,0,1,0,0,0,0,0,0
ROCHESTER-JUSTIN KING,1,0,1,0,0,0,0,0,0,0,0,0,0
ROCHESTER-MADDISON JORDAN,1,0,0,0,0,0,0,0,0,0,0,0,0
ROCHESTER-OWYN GUINNIP,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-AUSTIN DICKSON,0,1,0,1,0,0,1,0,0,0,0,0,0
ROCHESTER-MIKE PASCUTOI,0,0,0,0,0,0,0,1,0,0,0,0,0
ROCHESTER-PERRY WANG,0,0,0,0,0,1,0,0,0,0,0,0,0
ROCHESTER-STEVEN BELITZKY,0,0,0,0,1,0,0,0,0,0,0,0,0
ROCHESTER-TIM KWAN,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,0,0,2,1,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,0,0,1,0,0,0,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,0,1,0,0,0,0,0,0,0
