,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
ASU-JARED MOREDA,5,1,2,0,0,0,1,0,0,1,0,0,0
KANSAS-BRANDON TABOR,4,0,0,0,0,0,1,0,0,1,0,0,0
ASU-JOSH LOVATO,2,0,0,0,0,0,0,0,0,1,1,0,0
KANSAS-UNK,2,0,0,0,0,0,0,0,0,0,0,0,0
ASU-DYLAN BRYANT,1,2,0,0,0,0,1,0,0,0,0,0,0
KANSAS-RACHEL HEALD,1,1,2,0,0,0,0,0,0,0,0,0,0
ASU-UNK,1,0,0,0,0,0,0,0,0,0,0,0,0
ASU-AMANI BURTON,0,0,0,0,2,0,0,0,0,0,0,0,0
ASU-BRENTLEE CASS,0,0,2,1,0,0,0,0,0,0,0,0,0
ASU-JARROD BAILEY,0,0,0,0,1,0,0,0,0,0,1,0,0
ASU-RYAN MCGONAGLE,0,0,0,0,1,0,0,0,0,0,0,0,0
ASU-VICKY SANFORD,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-ADAM MCMORRIS,0,0,0,0,1,0,0,0,0,1,0,0,0
KANSAS-BRYAN WEARY,0,0,0,0,0,0,0,1,0,0,1,0,0
KANSAS-JAKE SIMON,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-KEVIN MCMORRIS,0,0,0,1,0,0,0,0,0,0,0,0,0
KANSAS-RACHEL ENGLAND,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,0,0,0,0,2,3,0,0,0,0,0,0,0
ASU-CALEB RAGATZ,0,0,0,0,0,1,1,0,0,0,0,0,0
KANSAS-BEN ENGELS,0,0,0,0,0,0,1,0,0,0,0,0,0
KANSAS-IAN MCCABE,0,0,0,1,0,0,2,0,0,0,1,0,0
