,Goals,Assists,Ball TO Forced,Contact TO Forced,Beat TO Forced,Resets Forced,Errors,ISR Catches,OSR Catches,Blues,Yellows,Second Yellows,Straight Reds
ROCHESTER-BASEM ASHKAR,6,0,1,1,0,0,1,0,0,0,1,0,0
KANSAS-BRYAN WEARY,3,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-UNK,2,0,0,1,0,0,0,0,0,0,0,0,0
ROCHESTER-MIKE PASCUTOI,2,0,0,0,0,0,0,1,0,0,1,0,0
KANSAS-MATT DWYER,1,1,0,0,0,0,1,0,0,0,0,0,0
KANSAS-IAN MCCABE,1,0,0,0,0,0,0,0,0,0,0,0,0
ROCHESTER-UNK,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-KEVIN MCMORRIS,1,0,0,1,0,0,1,0,0,0,0,0,0
ROCHESTER-SAMANTHA DINGA,1,0,1,0,0,0,1,0,0,0,0,0,0
ROCHESTER-MADDISON JORDAN,0,1,1,0,0,0,0,0,0,0,0,0,0
KANSAS-15,0,0,0,0,0,1,0,0,0,0,0,0,0
KANSAS-ADAM MCMORRIS,0,0,0,0,2,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,0,0,0,0,1,2,0,0,0,0,0,0,0
ROCHESTER-PERRY WANG,0,0,0,0,2,0,0,0,0,0,0,0,0
ROCHESTER-TIM KWAN,0,0,0,0,1,1,0,0,0,0,0,0,0
KANSAS-MIKE DEVINE,0,0,0,0,0,0,1,0,0,0,0,0,0
